Date,return
2015-11-04,0.11173506172895431
2016-06-22,-0.10450341756812143
2018-08-02,0.16188013070702012
2018-08-07,0.10988623587715574
2018-09-28,-0.13901536785757185
2018-10-01,0.1734713349848751
2018-10-23,0.12718904700256495
2019-01-18,-0.1297111611448506
2019-07-25,-0.13613708110635003
2019-10-24,0.1766923235319593
2020-02-03,0.19894859376394924
2020-02-04,0.13725640223576474
2020-02-05,-0.1717583947927872
2020-02-27,-0.12814583958462689
2020-03-02,0.11322034293215233
2020-03-09,-0.13572525720249962
2020-03-12,-0.11617242301113506
2020-03-16,-0.18577806455584012
2020-03-18,-0.1603440409986845
2020-03-19,0.1838768421567878
2020-03-24,0.16281749323562988
2020-04-13,0.13603839302984921
2020-07-06,0.1347939370342961
2020-07-10,0.10784776505418647
2020-08-12,0.1312363947417745
2020-08-17,0.11203058154519474
2020-08-31,0.1256890549105465
2020-09-08,-0.21062824320390794
2020-09-09,0.10923349433825735
2020-09-14,0.1258317707423402
2021-03-09,0.1964120760817838
2021-10-25,0.12661598362581983
2021-11-09,-0.11990303254359858
2022-01-03,0.1353166841897706
2022-01-27,-0.11554175561970448
2022-04-26,-0.12184121881948873
2022-12-27,-0.1140885333144338
2023-01-03,-0.12242248574195735
2023-01-26,0.10967259156647335
2023-01-27,0.11000180416824756
2024-01-25,-0.12125293136804816
2024-04-24,0.12061109407252757
2024-04-29,0.1530691710339953
2024-07-24,-0.12334604589403686
2024-10-24,0.21919035070290405
2024-11-06,0.14751032444224466
2025-03-10,-0.1542620682219511
2025-03-24,0.11933580126800525
2025-04-09,0.22689989839624514
2025-06-05,-0.14259893789082123
